s,F1, F2, F3, T1, T2, T3, T4, T_D40, T5, T6, TOELE, T_T_1, T_T_2, f, s_k, s_k2, k, s_V, s_V_K, r_tilde, T_BP1, T_BP2, T_WT1, T_WT2, T_V, T_V2, m, r, T_V_tilde, reglerguete_Misch , reglerguete_K, reglerguete_stellgroesse, reihenfolge
<<<<<<< HEAD
20.00,0.00, 0.00, 0.00, 70.50, 70.00, 69.94, 70.00, 70.67, 70.00, 72.00, 69.21, 69.21, 70.00, 0.79, 20.79, -48.42, -15.79, 57.06, -12.12, 0.29, 70.63, 70.00, 69.94, 70.00, 70.00, 0.67, 0.2761, 0.56, 69.21, 0.00, 0.02, 0.00,        1.10
20.00,0.00, 0.00, 0.00, 70.92, 70.00, 69.70, 70.00, 70.71, 70.00, 72.00, 69.44, 69.44, 70.00, 0.56, 20.56, -48.89, -15.56, 41.85, -27.57, 0.75, 71.49, 70.00, 69.70, 70.00, 70.00, 0.71, 0.2491, 1.00, 69.44, 0.02, 0.05, 0.00,        2.20
20.00,0.00, 0.00, 0.00, 70.81, 70.00, 69.29, 70.00, 70.74, 70.00, 72.00, 69.60, 69.61, 70.00, 0.40, 20.40, -49.21, -15.40, 31.08, -38.51, 1.00, 71.44, 70.00, 69.29, 70.00, 70.00, 0.74, 0.0000, 1.00, 69.60, 0.04, 0.08, 0.00,        3.30
20.00,0.00, 0.00, 0.00, 70.74, 70.00, 68.75, 70.00, 70.77, 70.00, 72.00, 69.72, 69.73, 70.00, 0.28, 20.28, -49.45, -15.28, 23.46, -46.25, 1.00, 71.31, 70.00, 68.75, 70.00, 70.00, 0.77, 0.0000, 1.00, 69.72, 0.07, 0.11, 0.00,        4.40
20.00,0.00, 0.00, 0.00, 70.71, 70.00, 68.10, 70.00, 70.79, 70.00, 72.00, 69.80, 69.81, 70.00, 0.20, 20.20, -49.62, -15.20, 18.07, -51.73, 1.00, 71.25, 70.00, 68.10, 70.00, 70.00, 0.79, 0.0000, 1.00, 69.80, 0.10, 0.14, 0.00,        5.50
20.00,0.00, 0.00, 0.00, 70.70, 70.00, 67.37, 70.00, 70.82, 70.00, 72.00, 69.86, 69.87, 70.00, 0.14, 20.14, -49.73, -15.14, 14.25, -55.61, 1.00, 71.22, 70.00, 67.37, 70.00, 70.00, 0.82, 0.0000, 1.00, 69.86, 0.13, 0.17, 0.00,        6.60
20.00,0.00, 0.00, 0.00, 70.69, 70.00, 66.57, 70.00, 70.84, 70.00, 72.00, 69.90, 69.92, 70.00, 0.10, 20.10, -49.82, -15.10, 11.55, -58.35, 1.00, 71.20, 70.00, 66.57, 70.00, 70.00, 0.84, 0.0000, 1.00, 69.90, 0.17, 0.20, 0.00,        7.70
20.00,0.00, 0.00, 0.00, 70.69, 70.00, 65.74, 70.00, 70.85, 70.00, 72.00, 69.93, 69.95, 70.00, 0.07, 20.07, -49.88, -15.07, 9.63, -60.29, 1.00, 71.19, 70.00, 65.73, 70.00, 70.00, 0.85, 0.0000, 1.00, 69.93, 0.20, 0.23, 0.00,        8.80
20.00,0.00, 0.00, 0.00, 70.69, 70.00, 64.87, 70.00, 70.87, 70.00, 72.00, 69.95, 69.97, 70.00, 0.05, 20.05, -49.92, -15.05, 8.28, -61.67, 1.00, 71.19, 70.00, 64.87, 70.00, 70.00, 0.87, 0.0000, 1.00, 69.95, 0.24, 0.26, 0.00,        9.90
20.00,0.00, 0.00, 0.00, 70.69, 70.00, 63.99, 70.00, 70.88, 70.00, 72.00, 69.96, 69.99, 70.00, 0.04, 20.04, -49.95, -15.04, 7.32, -62.64, 1.00, 71.19, 70.00, 63.98, 70.00, 70.00, 0.88, 0.0000, 1.00, 69.96, 0.28, 0.30, 0.00,       11.00
20.00,0.00, 0.00, 0.00, 70.69, 70.00, 63.09, 70.00, 70.90, 70.00, 72.00, 69.98, 70.00, 70.00, 0.02, 20.02, -49.97, -15.02, 6.64, -63.33, 1.00, 71.19, 70.00, 63.09, 70.00, 70.00, 0.90, 0.0000, 1.00, 69.98, 0.32, 0.33, 0.00,       12.10
20.00,0.00, 0.00, 0.00, 70.69, 70.00, 62.20, 70.00, 70.91, 70.00, 72.00, 69.98, 70.01, 70.00, 0.02, 20.02, -49.99, -15.02, 6.16, -63.82, 1.00, 71.19, 70.00, 62.19, 70.00, 70.00, 0.91, 0.0000, 1.00, 69.98, 0.36, 0.36, 0.00,       13.20
20.00,0.00, 0.00, 0.00, 70.69, 70.00, 61.30, 70.00, 70.92, 70.00, 72.00, 69.99, 70.01, 70.00, 0.01, 20.01, -50.00, -15.01, 5.82, -64.16, 1.00, 71.19, 70.00, 61.30, 70.00, 70.00, 0.92, 0.0000, 1.00, 69.99, 0.40, 0.39, 0.00,       14.30
20.00,0.00, 0.00, 0.00, 70.69, 70.00, 60.41, 70.00, 70.93, 70.00, 72.00, 69.99, 70.02, 70.00, 0.01, 20.01, -50.01, -15.01, 5.58, -64.41, 1.00, 71.19, 70.00, 60.41, 70.00, 70.00, 0.93, 0.0000, 1.00, 69.99, 0.44, 0.42, 0.00,       15.40
20.00,0.00, 0.00, 0.00, 70.69, 70.00, 59.53, 70.00, 70.93, 70.00, 72.00, 69.99, 70.02, 70.00, 0.01, 20.01, -50.02, -15.01, 5.41, -64.58, 1.00, 71.19, 70.00, 59.53, 70.00, 70.00, 0.93, 0.0000, 1.00, 69.99, 0.48, 0.45, 0.00,       16.50
20.00,0.00, 0.00, 0.00, 70.70, 70.00, 58.65, 70.00, 70.94, 70.00, 72.00, 70.00, 70.03, 70.00, 0.00, 20.00, -50.02, -15.00, 5.29, -64.70, 1.00, 71.19, 70.00, 58.65, 70.00, 70.00, 0.94, 0.0000, 1.00, 70.00, 0.52, 0.48, 0.00,       17.60
20.00,0.00, 0.00, 0.00, 70.70, 70.00, 57.79, 70.00, 70.95, 70.00, 72.00, 70.00, 70.03, 70.00, 0.00, 20.00, -50.03, -15.00, 5.21, -64.79, 1.00, 71.20, 70.00, 57.79, 70.00, 70.00, 0.95, 0.0000, 1.00, 70.00, 0.56, 0.51, 0.00,       18.70
20.00,0.00, 0.00, 0.00, 70.70, 70.00, 56.94, 70.00, 70.95, 70.00, 72.00, 70.00, 70.03, 70.00, 0.00, 20.00, -50.03, -15.00, 5.15, -64.85, 1.00, 71.20, 70.00, 56.94, 70.00, 70.00, 0.95, 0.0000, 1.00, 70.00, 0.60, 0.54, 0.00,       19.80
20.00,0.00, 0.00, 0.00, 70.70, 70.00, 56.10, 70.00, 70.96, 70.00, 72.00, 70.00, 70.03, 70.00, 0.00, 20.00, -50.03, -15.00, 5.10, -64.89, 1.00, 71.20, 70.00, 56.10, 70.00, 70.00, 0.96, 0.0000, 1.00, 70.00, 0.64, 0.57, 0.00,       20.90
20.00,0.00, 0.00, 0.00, 70.70, 70.00, 55.28, 70.00, 70.96, 70.00, 72.00, 70.00, 70.04, 70.00, 0.00, 20.00, -50.03, -15.00, 5.07, -64.93, 1.00, 71.20, 70.00, 55.28, 70.00, 70.00, 0.96, 0.0000, 1.00, 70.00, 0.68, 0.60, 0.00,       22.00
20.00,0.00, 0.00, 0.00, 70.70, 70.00, 54.47, 70.00, 70.97, 70.00, 72.00, 70.00, 70.04, 70.00, 0.00, 20.00, -50.04, -15.00, 5.05, -64.95, 1.00, 71.20, 70.00, 54.46, 70.00, 70.00, 0.97, 0.0000, 1.00, 70.00, 0.72, 0.63, 0.00,       23.10
20.00,0.00, 0.00, 0.00, 70.70, 70.00, 53.67, 70.00, 70.97, 70.00, 72.00, 70.00, 70.04, 70.00, 0.00, 20.00, -50.04, -15.00, 5.04, -64.96, 1.00, 71.20, 70.00, 53.66, 70.00, 70.00, 0.97, 0.0000, 1.00, 70.00, 0.76, 0.66, 0.00,       24.20
20.00,0.00, 0.00, 0.00, 70.70, 70.00, 52.88, 70.00, 70.97, 70.00, 72.00, 70.00, 70.04, 70.00, 0.00, 20.00, -50.04, -15.00, 5.03, -64.97, 1.00, 71.20, 70.00, 52.88, 70.00, 70.00, 0.97, 0.0000, 1.00, 70.00, 0.80, 0.69, 0.00,       25.30
20.00,0.00, 0.00, 0.00, 70.71, 70.00, 52.11, 70.00, 70.98, 70.00, 72.00, 70.00, 70.04, 70.00, 0.00, 20.00, -50.04, -15.00, 5.02, -64.98, 1.00, 71.20, 70.00, 52.10, 70.00, 70.00, 0.98, 0.0000, 1.00, 70.00, 0.84, 0.72, 0.00,       26.40
20.00,0.00, 0.00, 0.00, 70.71, 70.00, 51.35, 70.00, 70.98, 70.00, 72.00, 70.00, 70.04, 70.00, 0.00, 20.00, -50.04, -15.00, 5.01, -64.99, 1.00, 71.21, 70.00, 51.34, 70.00, 70.00, 0.98, 0.0000, 1.00, 70.00, 0.88, 0.75, 0.00,       27.50
20.00,0.00, 0.00, 0.00, 70.71, 70.00, 50.60, 70.00, 70.98, 70.00, 72.00, 70.00, 70.04, 70.00, 0.00, 20.00, -50.04, -15.00, 5.01, -64.99, 1.00, 71.21, 70.00, 50.59, 70.00, 70.00, 0.98, 0.0000, 1.00, 70.00, 0.92, 0.78, 0.00,       28.60
20.00,0.00, 0.00, 0.00, 70.71, 70.00, 49.86, 70.00, 70.98, 70.00, 72.00, 70.00, 70.05, 70.00, 0.00, 20.00, -50.05, -15.00, 5.01, -64.99, 1.00, 71.21, 70.00, 49.86, 70.00, 70.00, 0.98, 0.0000, 1.00, 70.00, 0.96, 0.81, 0.00,       29.70
20.00,0.00, 0.00, 0.00, 70.71, 70.00, 49.14, 70.00, 70.99, 70.00, 72.00, 70.00, 70.05, 70.00, 0.00, 20.00, -50.05, -15.00, 5.00, -65.00, 1.00, 71.21, 70.00, 49.14, 70.00, 70.00, 0.99, 0.0000, 1.00, 70.00, 1.00, 0.85, 0.00,       30.80
20.00,0.00, 0.00, 0.00, 70.71, 70.00, 48.43, 70.00, 70.99, 70.00, 72.00, 70.00, 70.05, 70.00, 0.00, 20.00, -50.05, -15.00, 5.00, -65.00, 1.00, 71.21, 70.00, 48.42, 70.00, 70.00, 0.99, 0.0000, 1.00, 70.00, 1.04, 0.88, 0.00,       31.90
20.00,0.00, 0.00, 0.00, 70.71, 70.00, 47.73, 70.00, 70.99, 70.00, 72.00, 70.00, 70.05, 70.00, 0.00, 20.00, -50.05, -15.00, 5.00, -65.00, 1.00, 71.21, 70.00, 47.73, 70.00, 70.00, 0.99, 0.0000, 1.00, 70.00, 1.08, 0.91, 0.00,       33.00
20.00,0.00, 0.00, 0.00, 70.72, 70.00, 47.04, 70.00, 70.99, 70.00, 72.00, 70.00, 70.05, 70.00, 0.00, 20.00, -50.05, -15.00, 5.00, -65.00, 1.00, 71.21, 70.00, 47.04, 70.00, 70.00, 0.99, 0.0000, 1.00, 70.00, 1.12, 0.94, 0.00,       34.10
